Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,475,63,72,54,57,67,55,37,31,25,4,3,7
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,57,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,28,17,12
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,18,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,8,1,9
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,69,4,3,8,10,6,4,9,3,8,4,5,5
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,71,9,11,13,10,3,4,4,7,2,2,5,1
Շիրակ,Արթիկ / Հառիճ,«Հառիճավանքի Թրբանճյան Ընծայարան» ա/դ,23,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,12,6,5
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,178,- չունի -,- չունի -,- չունի -,- չունի -,9,13,15,6,9,46,51,29
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,216,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,90,78,48
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,666,36,48,50,37,60,55,74,71,61,61,64,49
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,53,- չունի -,- չունի -,- չունի -,- չունի -,3,8,16,17,9,- չունի -,- չունի -,- չունի -
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,19,3,3,4,1,1,- չունի -,1,5,1,- չունի -,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,557,- չունի -,- չունի -,- չունի -,- չունի -,59,51,63,41,60,92,112,79
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,217,21,30,19,20,14,17,14,18,23,- չունի -,18,23
Երևան,Երևան / Էրեբունի,"Ազատազրկման ձևով պատիժ կրող, կալանավորված անձանց հտ մ/դ",14,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,1,3,7,3
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,21,1,3,4,2,2,1,2,2,4,- չունի -,- չունի -,- չունի -
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,51,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,4,10,7,11,10,5,4
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50,15,14,12,9,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,78,8,4,3,6,5,9,9,11,9,4,5,5
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,214,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,74,71,69
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,20,1,5,1,4,- չունի -,2,3,1,3,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,47,6,4,2,7,1,7,5,6,4,3,2,- չունի -
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,111,11,9,8,11,10,10,6,7,13,7,12,7
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,88,9,9,5,10,9,4,9,12,9,6,1,5
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,55,4,1,6,5,6,3,3,5,3,5,9,5
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,145,14,12,11,9,12,15,9,11,17,10,16,9
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,3,- չունի -,- չունի -,- չունի -,- չունի -,1,1,1,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,70,4,7,11,7,6,8,5,4,6,7,2,3
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,235,10,14,21,23,20,19,29,21,20,20,24,14
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,379,29,38,31,33,31,30,36,51,21,13,38,28
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,32,2,4,4,8,2,4,6,2,- չունի -,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,203,28,16,19,10,21,17,20,19,15,14,11,13
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,45,7,2,1,6,3,4,4,6,3,4,2,3
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,3,1,1,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,36,2,4,3,4,3,4,3,4,4,2,2,1
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,9,- չունի -,- չունի -,- չունի -,1,1,1,2,2,2,- չունի -,- չունի -,- չունի -
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,65,7,3,3,7,7,5,3,6,8,3,4,9
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,152,18,18,10,15,16,16,14,14,12,6,6,7
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,24,2,2,- չունի -,3,- չունի -,4,- չունի -,3,2,2,4,2
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4,1,1,- չունի -,- չունի -,- չունի -,1,1,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,19,3,2,2,2,1,2,2,4,- չունի -,1,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,49,4,4,7,5,6,4,2,8,4,- չունի -,3,2
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,204,22,17,22,18,32,30,27,18,18,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,193,20,17,21,26,19,24,23,19,24,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,20,3,3,- չունի -,3,1,2,3,2,2,1,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,218,17,13,18,23,18,18,17,23,19,16,15,21
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,16,3,2,4,5,- չունի -,- չունի -,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,70,5,7,7,6,5,5,8,7,5,5,5,5
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,188,17,21,16,11,20,12,19,19,16,12,15,10
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,53,3,5,5,3,3,5,8,4,7,4,2,4
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,186,18,20,18,23,13,12,24,16,8,7,11,16
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,7,- չունի -,1,1,2,1,- չունի -,1,- չունի -,1,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,118,8,12,8,6,7,11,11,18,17,8,6,6
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,92,8,11,6,8,9,6,7,13,6,6,5,7
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,18,1,5,1,2,1,1,2,- չունի -,1,3,1,- չունի -
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,221,24,20,9,18,22,23,21,32,22,9,11,10
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,24,4,3,1,4,3,1,3,1,1,1,- չունի -,2
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,28,2,1,1,6,1,1,1,1,4,4,1,5
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,19,- չունի -,2,3,1,- չունի -,3,3,4,3,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,121,8,10,8,12,18,7,12,9,8,12,10,7
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,18,4,2,2,- չունի -,1,- չունի -,4,- չունի -,1,2,1,1
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1,- չունի -,1,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,6,1,- չունի -,- չունի -,1,- չունի -,3,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,35,2,4,- չունի -,5,2,2,6,3,7,- չունի -,2,2
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,7,- չունի -,- չունի -,- չունի -,1,2,1,- չունի -,2,1,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,98,9,5,8,14,11,10,12,11,7,- չունի -,4,7
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,104,8,5,12,12,8,7,13,11,12,7,5,4
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,19,4,3,3,2,1,1,1,2,1,- չունի -,- չունի -,1
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,53,5,2,5,4,3,5,4,4,2,6,5,8
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,283,24,28,17,30,25,24,28,26,33,15,22,11
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,277,23,29,22,23,32,25,22,28,27,18,14,14
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,137,8,16,11,17,14,7,11,16,12,12,7,6
Լոռի,Ալավերդի / Այգեհատ,գ. Այգեհատի հմ/դ,8,- չունի -,- չունի -,- չունի -,2,- չունի -,2,3,- չունի -,1,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,203,20,23,18,17,22,21,15,14,16,15,11,11
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,90,6,10,7,7,15,11,7,4,10,7,3,3
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,120,11,12,11,11,11,5,12,14,13,8,9,3
Արմավիր,Արմավիր / Այգեշատ,գ. Այգեշատի Յու.Հովհաննիսյանի անվ. մ/դ,98,10,12,8,12,4,9,9,8,5,8,8,5
Արարատ,Արտաշատ / Այգեպատ,գ. Այգեպատի մ/դ,105,4,12,13,14,13,12,6,6,10,3,9,3
Արարատ,Արտաշատ / Այգեստան,գ. Այգեստանի մ/դ,202,15,15,21,25,19,22,18,16,17,20,7,7
Արմավիր,Արմավիր / Այգևան,գ. Այգեվանի Մ.Խորենացու անվ. մ/դ,104,9,18,11,13,11,4,5,10,11,9,1,2
Գեղարքունիք,Ճամբարակ / Այգուտ,գ. Այգուտի մ/դ,38,2,5,3,5,5,5,3,2,1,4,2,1
Արարատ,Մասիս / Այնթապ,գ. Այնթապի Բյուզանդ Մարգարյանի անվ. թիվ 2 մ/դ,632,69,56,51,57,79,64,55,50,54,39,30,28
Արարատ,Մասիս / Այնթապ,գ. Այնթապի թիվ 1 մ/դ,353,33,35,32,26,34,30,31,26,32,28,19,27
Տավուշ,Նոյեմբերյան / Այրում,գ. Այրումի Հ.Մալինյանի անվ. մ/դ,157,15,9,7,11,11,14,9,15,11,18,27,10
Գեղարքունիք,Վարդենիս / Այրք,գ. Այրքի մ/դ,11,- չունի -,- չունի -,1,2,1,- չունի -,- չունի -,4,- չունի -,3,- չունի -,- չունի -
Սյունիք,Սիսիան / Անգեղակոթ,գ. Անգեղակոթի մ/դ,74,3,7,7,5,10,10,6,9,9,- չունի -,3,5
Շիրակ,Անի / Անիպեմզա,գ. Անիպեմզայի մ/դ,27,2,1,5,4,1,3,2,2,1,4,1,1
Շիրակ,Արթիկ / Անուշավան,գ. Անուշավանի մ/դ,129,11,5,10,12,10,9,20,14,14,10,6,8
Գեղարքունիք,Ճամբարակ / Անտառամեջ,գ. Անտառամեջի մ/դ,10,3,- չունի -,2,2,- չունի -,1,- չունի -,1,- չունի -,- չունի -,1,- չունի -
Լոռի,Գուգարք / Անտառամուտ,գ. Անտառամուտի հմ/դ,9,2,1,2,- չունի -,3,- չունի -,1,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Անտառուտ,գ. Անտառուտի մ/դ,60,4,10,4,8,4,5,9,3,4,6,1,2
Արագածոտն,Թալին / Աշնակ,գ. Աշնակի Գ.Չաուշի անվ. մ/դ,58,4,6,3,3,3,8,9,7,9,2,4,- չունի -
Սյունիք,Սիսիան / Աշոտավան,գ. Աշոտավանի մ/դ,37,- չունի -,3,3,3,2,6,4,4,6,3,2,1
Շիրակ,Աշոցք / Աշոցք,գ. Աշոցքի մ/դ,160,6,15,10,14,14,21,12,14,18,7,17,12
Տավուշ,Իջևան / Աչաջուր,գ. Աչաջրի մ/դ,351,27,38,30,28,36,24,35,30,23,30,32,18
Արմավիր,Վաղարշապատ / Ապագա,գ. Ապագայի մ/դ,154,13,15,18,12,13,12,18,19,11,12,5,6
Արմավիր,Վաղարշապատ / Առատաշեն,գ. Առատաշենի Գ. Գրիգորյանի անվ. մ/դ,184,16,15,22,12,21,19,12,15,9,22,11,10
Շիրակ,Ախուրյան / Առափի,գ. Առափիի մ/դ,79,6,5,3,5,6,17,10,8,4,4,7,4
Կոտայք,Աբովյան / Առինջ,գ. Առինջի Կ.Ծառուկյանի անվ. մ/դ,335,25,28,31,36,31,23,27,32,27,27,25,23
Գեղարքունիք,Մարտունի / Աստղաձոր,գ. Աստղաձորի մ/դ,352,33,33,26,26,23,35,26,34,39,36,24,17
Գեղարքունիք,Վարդենիս / Ավազան,գ. Ավազանի հմ/դ,13,1,- չունի -,2,2,2,2,3,1,- չունի -,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Ավան,գ. Ավանի Ա.Սերոբի անվ. մ/դ,62,1,6,6,2,3,6,7,1,10,5,7,8
Արարատ,Արարատ / Ավշար,գ. Ավշարի մ/դ,291,22,25,27,31,31,20,22,31,32,17,16,17
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 1 մ/դ,227,18,26,20,25,21,24,24,21,23,15,8,2
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 2 մ/դ,188,11,29,10,16,21,19,17,15,19,10,12,9
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 1 մ/դ,154,17,11,9,12,11,10,19,18,11,18,7,11
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 2 մ/դ,64,2,8,5,8,4,7,7,4,7,4,3,5
Արմավիր,Վաղարշապատ / Արագած,գ. Արագածի Մ.Մեխակյանի անվ. մ/դ,176,11,16,13,20,16,18,13,18,20,11,7,13
Արագածոտն,Աշտարակ / Արագածոտն,գ. Արագածոտնի մ/դ,75,4,5,6,13,10,6,6,7,5,3,5,5
Կոտայք,Նաիրի / Արագյուղ,"գ. Արագյուղի ""Տիգրանակերտ կրթարան"" մ/դ",65,9,8,6,2,7,6,8,3,5,6,- չունի -,5
Արմավիր,Արմավիր / Արազափ,գ. Արազափի Թ. Հուրյանի անվ. մ/դ,91,7,12,6,9,9,5,10,6,10,9,4,4
Արարատ,Արարատ / Արալեզ,գ. Արալեզի մ/դ,191,11,19,17,18,16,23,10,19,15,16,11,16
Կոտայք,Աբովյան / Արամուս,գ. Արամուսի Վ.Առաքելյանի անվ. մ/դ,279,23,32,15,27,21,30,22,25,31,13,19,21
Արագածոտն,Ապարան / Արայի,գ. Արայի հմ/դ,18,1,2,1,3,2,2,2,3,2,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Արավուս,գ. Արավուսի տ/դ,7,2,5,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 1 մ/դ,200,15,14,21,15,20,23,25,19,15,10,19,4
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 2 մ/դ,197,21,21,17,13,18,14,26,17,20,8,12,10
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 3 մ/դ,198,11,23,14,21,23,24,11,17,17,14,14,9
Արարատ,Արտաշատ / Արաքսավան,գ. Արաքսավանի մ/դ,80,7,9,4,7,7,7,7,11,9,2,6,4
Արմավիր,Արմավիր / Արաքս,գ. Արաքսի Զ.Ավետիսյանի անվ. մ/դ,107,8,9,6,8,15,8,7,7,16,11,7,5
Արմավիր,Վաղարշապատ / Արաքս,գ. Արաքսի մ/դ,113,13,5,11,14,10,12,9,7,13,10,5,4
Արարատ,Մասիս / Արբաթ,գ. Արբաթի Հ.Զաքարյանի անվ. մ/դ,181,20,20,11,20,20,13,16,12,14,9,15,11
Արմավիր,Արմավիր / Արգավանդ,գ. Արգավանդի մ/դ,171,19,10,10,16,21,9,15,6,24,12,19,10
Արարատ,Մասիս / Արգավանդ,գ. Արգավանդի մ/դ,189,13,20,17,9,25,20,16,9,17,16,15,12
Կոտայք,Նաիրի / Արգել,գ. Արգելի Վ.Անանյանի անվ. մ/դ,206,13,18,16,31,23,16,19,20,20,18,3,9
Արմավիր,Բաղրամյան / Արգինա,գ. Արգինայի մ/դ,46,4,5,1,12,4,5,5,4,2,3,1,- չունի -
Շիրակ,Ամասիա / Արդենիս,գ. Արդենիսի հմ/դ,3,- չունի -,- չունի -,- չունի -,1,- չունի -,- չունի -,1,1,- չունի -,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Արդվի,գ. Արդվու հմ/դ,4,- չունի -,1,1,2,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Արեգնադեմ,գ. Արեգնադեմի մ/դ,21,2,3,1,2,1,5,- չունի -,2,2,3,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Արեգունի,գ. Արեգունու մ/դ,19,1,1,- չունի -,1,- չունի -,2,4,1,4,3,1,1
Վայոց Ձոր,Եղեգնաձոր / Արենի,գ. Արենիի մ/դ,161,13,20,14,22,14,15,12,6,13,11,12,9
Կոտայք,Հրազդան / Արզական,գ. Արզականի Խ.Խաչատրյանի անվ. մ/դ,174,13,23,14,19,13,19,14,18,15,10,7,9
Կոտայք,Աբովյան / Արզնի,գ. Արզնիի մ/դ,223,24,26,26,12,20,29,13,21,26,6,8,12
Վայոց Ձոր,Վայք / Արին,գ. Արինի մ/դ,26,1,1,2,3,2,- չունի -,1,2,2,3,2,7
